"Name","dummy","transformer_model","test_score"
"ruby-sweep-16","7","bert-base-uncased","0.3908545596800835"
"earnest-sweep-15","7","bert-base-uncased","0.592167577413479"
"sandy-sweep-14","6","bert-base-uncased","0.3822615719167443"
"polar-sweep-13","6","bert-base-uncased","0.6091907931670543"
"magic-sweep-12","5","bert-base-uncased","0.5554267368233301"
"prime-sweep-10","4","bert-base-uncased","0.3482440651363547"
"dauntless-sweep-9","4","bert-base-uncased","0.5227151256012827"
"breezy-sweep-8","3","bert-base-uncased","0.4401433691756272"
"good-sweep-7","3","bert-base-uncased","0.6085567193325049"
"good-sweep-6","2","bert-base-uncased","0.3502673796791444"
"logical-sweep-5","2","bert-base-uncased","0.4665040650406504"
"comfy-sweep-4","1","bert-base-uncased","0.4981431902582261"
"proud-sweep-3","1","bert-base-uncased","0.5608985608985609"
"vague-sweep-2","0","bert-base-uncased","0.5704256252742431"
"graceful-sweep-1","0","bert-base-uncased","0.665882945671341"
"ethereal-sweep-18","8","bert-base-uncased",""
"driven-sweep-17","8","bert-base-uncased","0"
"likely-sweep-16","7","bert-base-uncased","0.45345712191546544"
"good-sweep-15","7","bert-base-uncased","0.584066173269482"
"ethereal-sweep-14","6","bert-base-uncased","0.45345712191546544"
"comic-sweep-12","5","bert-base-uncased","0.45345712191546544"
"dauntless-sweep-11","5","bert-base-uncased","0.584066173269482"
"fluent-sweep-10","4","bert-base-uncased","0.45345712191546544"
"giddy-sweep-9","4","bert-base-uncased","0.584066173269482"
"restful-sweep-8","3","bert-base-uncased","0.45345712191546544"
"earnest-sweep-7","3","bert-base-uncased","0.584066173269482"
"spring-sweep-6","2","bert-base-uncased","0.45345712191546544"
"upbeat-sweep-5","2","bert-base-uncased","0.584066173269482"
"denim-sweep-4","1","bert-base-uncased","0.45345712191546544"
"chocolate-sweep-3","1","bert-base-uncased","0.584066173269482"
"lemon-sweep-1","0","bert-base-uncased","0.584066173269482"
"daily-sweep-53","","bert-base-uncased",""
"rosy-sweep-52","","bert-base-uncased","0.26498422712933756"
"glad-sweep-51","","bert-base-uncased","0.1466992665036675"
"olive-sweep-50","","bert-base-uncased","0.23903903903903903"
"desert-sweep-49","","bert-base-uncased","0.6004775900073476"
"wise-sweep-48","","bert-base-uncased","0.4761647778377406"
"breezy-sweep-47","","bert-base-uncased","0.4696132596685083"
"youthful-sweep-46","","bert-base-uncased","0.6156439649359406"
"peach-sweep-45","","bert-base-uncased","0.4086727989487517"
"tough-sweep-44","","bert-base-uncased","0.5776703220792677"
"wobbly-sweep-43","","bert-base-uncased","0.4932444288471662"
"glorious-sweep-42","","bert-base-uncased","0.3152542372881356"
"ruby-sweep-40","","bert-base-uncased","0.41028847012592656"
"blooming-sweep-39","","bert-base-uncased","0.26727642276422764"
"upbeat-sweep-38","","bert-base-uncased","0.4598551394667899"
"effortless-sweep-37","","bert-base-uncased","0.42302379125095935"
"ethereal-sweep-36","","bert-base-uncased","0.4855015673981191"
